status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
TO_UPDATE;29468;1;WO9802237-A;WO9802237;WO;A;;1997;1;Brevet européen PCT Application No EP/97/03817
TO_UPDATE;29513;1;PCT/EP98/06630;PCT/EP98/06630;;;;1999;0;
TO_UPDATE;29514;1;WO200071178-A;WO0071178;WO;A;2000;1999;1;Patent Application CH 0935/99
TO_UPDATE;29609;1;WO2003068673-A;WO03068673;WO;A;2003;2003;1;PCT Int. Appl. 15 p.
ERROR;33739;1;P-26-526-US;;;;;2004;0;
TO_UPDATE;52859;1;US 5369837;US5369837;US;;;1994;1;United States Patent. 6 December 1994. Company: Swatch - Mercedes-Benz. http://freepatentsonline.com/5369837.html
TO_UPDATE;52860;1;EP0686822;EP0686822;EP;;;1995;1;European Patent. 95108414.4 26 July 1995. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/origdoc?DB=EPODOC&IDX=US5667030&F=0&RPN=EP0686822&DOC=cca34af1984f0ccb884700b9823ae1b158
TO_UPDATE;52861;1;EP0668177;EP0668177;EP;;;1995;1;European Patent. 95101903.3 11 April 1995. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/origdoc?DB=EPODOC&IDX=US5735338&F=0&RPN=EP0668177&DOC=cca34af1984f0cc98840febc853de4b45b
TO_UPDATE;52862;1;EP0645267;EP0645267;EP;;;1994;1;European Patent. 94114524.5 9 Nov. 1994. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/origdoc?DB=EPODOC&IDX=PL305104&F=0&RPN=EP0645267&DOC=cca34af1984f0cc7833cf9b77f37deae55
TO_UPDATE;52863;1;EP0611675;EP0611675;EP;;;1994;1;European Patent. 94101768.3 7 April 1994. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/origdoc?DB=EPODOC&IDX=PL302236&F=0&RPN=EP0611675&DOC=cca34af1984f0cc47c39f7b37c34dbab52
TO_UPDATE;52864;1;EP0529389;EP0529389;EP;;;1992;1;European Patent. 92113608.1 6 Oct. 1992. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=MD1326&F=0
TO_UPDATE;52865;1;EP0566944;EP0566944;EP;;;1993;1;European Patent. 93105915.8 8 June 1993. Company: Swatch - Mercedes-Benz. http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=ES2085068T&F=0
TO_UPDATE;52882;1;US 5735338;US5735338;US;;;1998;1;United States Patent. 5735338. Company: Swatch - Mercedes-Benz http://freepatentsonline.com/5735338.html
TO_UPDATE;52886;1;US 5486019;US5486019;US;;;1996;1;United States Patent.  January, 23, 1996. Company: Swatch - Mercedes-Benz.  http://freepatentsonline.com/5486019.html
TO_UPDATE;52887;1;US 5667030;US5667030;US;;;1997;1;United States Patent. September 16, 1997. Company: Swatch - Mercedes-Benz. http://freepatentsonline.com/5667030.html
TO_UPDATE;53107;1;US2007162902-A1;US2007162902;US;A1;2007;2003;0;
TO_UPDATE;53122;1;PCT/EP2005/051730;PCT/EP2005/051730;;;;2004;0;
ERROR;55761;0;;;;;;2000;1;European patent in progress. Application N°: 00810322.8-2201
ERROR;64375;1;US-11/260,390;;;;;2005;0;
ERROR;77931;1;2001042220;;;;;2001;0;
ERROR;78303;1;2003000647;;;;;2003;0;
ERROR;78355;1;99-19923274 19923274;;;;;2000;0;
ERROR;78583;1;2004-EP12220 2005054254;;;;;2005;0;
ERROR;78733;1;75-2513746-2513746;;;;;1976;0;
ERROR;78790;1;79-810174-13257;;;;;1980;0;
ERROR;78820;1;80-3033693-3033693;;;;;1981;0;
ERROR;78823;1;80-3032303-3032303;;;;;1981;0;
ERROR;78827;1;80-3031414-3031414;;;;;1981;0;
ERROR;78850;1;81-13248-2486705;;;;;1982;0;
ERROR;78859;1;81-13247-2486511;;;;;1982;0;
ERROR;78865;1;82-810037-57669;;;;;1982;0;
ERROR;78874;1;82-810217-66540;;;;;1982;0;
ERROR;78895;1;82-304467-73639;;;;;1983;0;
ERROR;78899;1;78-6729-634280;;;;;1983;0;
ERROR;78910;1;81-2147-25912;;;;;1983;0;
ERROR;78983;1;85-CH66-8505119;;;;;1985;0;
ERROR;79102;1;88-AT70-8902418;;;;;1989;0;
ERROR;79108;1;88-204172-4847231;;;;;1989;0;
ERROR;79163;1;91-EP734-9116719;;;;;1991;0;
ERROR;79202;1;92-CH33-9214741;;;;;1992;0;
ERROR;79207;1;92-CH34-9214836;;;;;1992;0;
ERROR;79212;1;91-7404-2677766;;;;;1992;0;
ERROR;79215;1;91-4118626-4118626;;;;;1992;0;
ERROR;79216;1;91-113767-472124;;;;;1992;0;
ERROR;79218;1;93-CH68-9319479;;;;;1993;0;
ERROR;79235;1;88-256912-5223634;;;;;1993;0;
ERROR;79237;1;92-4207659-4207659;;;;;1993;0;
ERROR;79262;1;93-EP2221-9404497;;;;;1994;0;
ERROR;79265;1;92-9507-2694451;;;;;1994;0;
ERROR;79295;1;93-119597-602488;;;;;1994;0;
ERROR;79307;1;95-100174-664570;;;;;1995;0;
ERROR;79311;1;94-IB88-9529924;;;;;1995;0;
ERROR;79341;1;94-1511-686571;;;;;1996;0;
ERROR;79355;1;95-119462-718288;;;;;1996;0;
ERROR;79402;1;97-CH104-9735227;;;;;1997;0;
ERROR;79419;1;96-19646411-19646411;;;;;1998;0;
ERROR;79420;1;97-19711713-19711713;;;;;1998;0;
ERROR;79430;1;98-IB680-9850393;;;;;1998;0;
ERROR;79460;1;99-EP3261-9959218;;;;;1999;0;
ERROR;79461;1;98-GB1872-9903868;;;;;1999;0;
ERROR;79478;1;98-CH324-9907028;;;;;1999;0;
ERROR;79530;1;2000-EP6350-2001002624;;;;;2001;0;
ERROR;79559;1;2000-810681-1176646;;;;;2002;0;
ERROR;79568;1;2000-810691-1175938;;;;;2002;0;
ERROR;79569;1;2000-810839-1188711;;;;;2002;0;
ERROR;79574;1;2001-810286-1244168;;;;;2002;0;
ERROR;79576;1;2000-CH358-2002002232;;;;;2002;0;
ERROR;79583;1; 2000-EP11510-2002040073;;;;;2002;0;
ERROR;79599;1;2001-810752-1282180;;;;;2003;0;
ERROR;79600;1;2003-417659-2003196692;;;;;2003;0;
ERROR;79602;1;2003-JP5426-2003098731;;;;;2003;0;
ERROR;79609;1;2001-810672-1274148;;;;;2003;0;
ERROR;79636;1;2002-372351-2004206945;;;;;2004;0;
ERROR;79653;1;2003-405306-1473745;;;;;2004;0;
ERROR;79673;1;2004-885224-2005006714;;;;;2005;0;
ERROR;79684;1;2004-5751-2412119;;;;;2005;0;
ERROR;79708;1;2004-405484-1622178;;;;;2006;0;
ERROR;79709;1; US. Patent Application Nr.: 09/666529;;;;;2000;0;
ERROR;79731;1;74-2442105 2442105;;;;;1975;0;
ERROR;79732;1;74-2438210 2438210;;;;;1975;0;
ERROR;79733;1;74-2442106 2442106;;;;;1975;0;
ERROR;79735;1;73-13025 586666;;;;;1977;0;
ERROR;79741;1;82-101587 60437;;;;;1982;0;
ERROR;79747;1;83-CH145 8402522;;;;;1984;0;
ERROR;79751;1;84-3426114 3426114;;;;;1985;0;
ERROR;79755;1;86-810463 221022;;;;;1987;0;
ERROR;79805;1;97-FR836 9743465;;;;;1997;0;
ERROR;79847;1;2000-810147 1031645;;;;;2000;0;
ERROR;79861;1;2000-EP9712 2001025508;;;;;2001;0;
ERROR;79919;1;2004-GR6 2005072860;;;;;2005;0;
ERROR;80266;1;88-198975 4855593;;;;;1989;0;
ERROR;80280;1;89-107303 394504;;;;;1990;0;
ERROR;80283;1;88-3839820 3839820;;;;;1990;0;
ERROR;80288;1;89-3940633 3940633;;;;;1991;0;
ERROR;80298;1;91-108878 515718;;;;;1992;0;
ERROR;80302;1;90-EP1131 9201235;;;;;1992;0;
ERROR;80324;1;92-120930 601229;;;;;1994;0;
ERROR;80335;1;94-104031 672916;;;;;1995;0;
ERROR;80395;1;99-119845 1098204;;;;;2001;0;
ERROR;80630;1;98-19815901 19815901;;;;;1999;0;
ERROR;80635;1;98-EP5215 9909044;;;;;1999;0;
ERROR;80747;1;93-3816 686980;;;;;1996;0;
ERROR;80789;1;2000-EP4120 2000073485;;;;;2000;0;
ERROR;80984;1;42734;;;;;1966;0;
ERROR;81016;1;93-EP976 9321528;;;;;1993;0;
ERROR;81033;1;96-IB496 9638726;;;;;1996;0;
ERROR;81070;1;97-IB920 9905509;;;;;1999;0;
ERROR;81077;1;2000-EP4491 2000073798;;;;;2000;0;
ERROR;81087;1;2001-CH239 2001079820;;;;;2001;0;
ERROR;81092;1;2001-EP14134 2002046766;;;;;2002;0;
ERROR;81097;1;2002-EP14489 2003052136;;;;;2003;0;
ERROR;81098;1;2002-229863 2003098248;;;;;2003;0;
ERROR;81132;1;2005-IB1479 2005121226;;;;;2005;0;
ERROR;81136;1;2005-EP8510 2006013109;;;;;2006;0;
ERROR;81141;1;76-195738 128189;;;;;1977;0;
ERROR;81142;1;76-195736 127729;;;;;1977;0;
ERROR;81144;1;79-211566 142345;;;;;1980;0;
ERROR;81145;1;80-222918 152287;;;;;1981;0;
ERROR;81146;1;80-223799 153002;;;;;1981;0;
ERROR;81147;1;77-200557 151073;;;;;1981;0;
ERROR;81148;1;81-227046 156979;;;;;1982;0;
ERROR;81150;1;82-237128 203305;;;;;1983;0;
ERROR;81151;1;81-233614 200395;;;;;1983;0;
ERROR;81152;1;82-241934 205690;;;;;1984;0;
ERROR;81154;1;82-238888 207583;;;;;1984;0;
ERROR;81155;1;83-253020 217193;;;;;1985;0;
ERROR;81156;1;82-242765 217195;;;;;1985;0;
ERROR;81160;1;87-3733587 3733587;;;;;1988;0;
ERROR;81161;1;87-114585 264710;;;;;1988;0;
ERROR;81165;1;86-295032 276856;;;;;1990;0;
ERROR;81169;1;86-295024 292218;;;;;1991;0;
ERROR;81170;1;86-295025 292219;;;;;1991;0;
ERROR;81174;1;86-295034 292641;;;;;1991;0;
ERROR;81175;1;86-295026 292642;;;;;1991;0;
ERROR;81176;1;87-304590 290901;;;;;1991;0;
ERROR;81249;1;99-IB455 9947574;;;;;1999;0;
ERROR;81267;1;2001-US18101 2001092584;;;;;2001;0;
ERROR;81275;1;99-406031 6294622;;;;;2001;0;
ERROR;81283;1;2002-97470 2002137858;;;;;2002;0;
ERROR;81284;1;2002-97786 2002132948;;;;;2002;0;
ERROR;81335;1;99-19903895 19903895;;;;;2000;0;
ERROR;81345;1;2002-GB1636 2002083937;;;;;2002;0;
ERROR;81370;1;2003-EP10859 2004031404;;;;;2004;0;
ERROR;81374;1;2004-IB1733 2004104588;;;;;2004;0;
ERROR;81375;1;2003-EP10889 2004031405;;;;;2004;0;
ERROR;81378;1;2005-EP50900 2005085470;;;;;2005;0;
ERROR;81382;1;2005-EP50899 2005085431;;;;;2005;0;
ERROR;81384;1;2004-EP11289 2005038050;;;;;2005;0;
ERROR;81445;1;1279678;;;;;1968;7;"CAN 70:37429, 25, Noncondensed Aromatic Compounds, Patent, written in German., 19681010, 588-72-7P; 588-73-8P; 766-90-5P; 768-49-0P; 873-66-5P; 4110-77-4P; 4604-28-8P; 6911-81-5P; 7302-03-6P; 21370-50-3P; 21370-53-6P; 21370-55-8P; 21370-56-9P; 21370-57-0P; 21370-59-2P; 21453-89-4P; 21477-44-1P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of)"
ERROR;81447;1;1270545;;;;;1968;7;"CAN 69:86586, 25, Noncondensed Aromatic Compounds, Patent, written in German., 19680620, 103-30-0P; 768-00-3P; 873-66-5P; 1005-64-7P; 6111-82-6P; 13389-42-9P; 14850-23-8P; 15192-80-0P Role: IMF (Industrial manufacture), PREP (Preparation) (manuf. of)"
ERROR;81576;1;85-810234 166683;;;;;1986;12;"CAN 105:97240, 26-2, Biomolecules and Their Synthetic Analogs, Patent, written in German., 19860102, 38568-98-8P; 103841-93-6P; 103841-94-7P; 103841-95-8P; 103841-96-9P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of, as pheromone pesticide for Laspyresia pomonella); 33956-49-9 Role: PROC (Process) (substitution of, with chlorotrialkylsilanes, silyl derivs. from); 13465-78-6D Role: PROC (Process) (substitution of, with dodecadienol, dodecadienyloxysilane derivs. from), Designated States R: AT, BE, CH, DE, FR, GB, IT, LI, NL., A2, CH, 84-2572, 19840525"
ERROR;81786;1;2005-EP6065 2006002731;;;;;2006;11;"CAN 144:129105, 29-7, Organometallic and Organometalloidal Compounds, Patent, written in English., 20060112, 10049-08-8 (Ruthenium trichloride); 35138-22-8; 37366-09-9; 52462-29-0 Role: CAT (Catalyst use), USES (Uses) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 871707-42-5P; 871707-44-7P Role: CAT (Catalyst use), RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), USES (Uses), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 871915-66-1P; 871915-67-2P; 871915-68-3P; 871915-69-4P Role: CAT (Catalyst use), SPN (Synthetic preparation), PREP (Preparation), USES (Uses) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 100-46-9 (Benzylamine); 108-36-1 (1,3-Dibromobenzene); 141-97-9 (Ethyl acetoacetate); 617-52-7 (Dimethyl itaconate); 638-07-3 (Ethyl 4-chloro-3-oxobutyrate); 1079-66-9 (Chlorodiphenylphosphine); 5469-45-4; 14428-98-9; 16523-54-9 (Chlorodicyclohexylphosphine); 52386-78-4 Role: RCT (Reactant), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 19821-80-8P (1,3-Dibromo-2-iodobenzene); 97038-96-5P; 507241-82-9P; 873110-78-2P; 873110-79-3P Role: RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 152578-86-4 Role: RGT (Reagent), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation); 2018-61-3P; 3618-96-0P; 17480-69-2P; 22644-27-5P; 24915-95-5P; 86728-85-0P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of asym. substituted biaryldiphosphines and their use as cocatalysts for transition metal catalyzed enantioselective hydrogenation), A1, EP, 2004-14908, 20040625"
ERROR;81787;1;2005-EP6064 2006002730;;;;;2006;11;"CAN 144:129104, 29-7, Organometallic and Organometalloidal Compounds, Patent, written in English., 20060112, 10049-08-8 (Ruthenium trichloride); 12112-67-3; 35138-22-8; 37366-09-9; 52462-29-0 Role: CAT (Catalyst use), USES (Uses) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 871707-42-5P; 871707-44-7P Role: CAT (Catalyst use), RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), USES (Uses), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 871915-66-1P; 871915-67-2P; 871915-68-3P; 871915-69-4P; 871915-70-7P; 871915-71-8P Role: CAT (Catalyst use), SPN (Synthetic preparation), PREP (Preparation), USES (Uses) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 100-46-9 (Benzylamine); 108-36-1 (1,3-Dibromobenzene); 141-97-9 (Ethyl acetoacetate); 617-52-7 (Dimethyl itaconate); 638-07-3 (Ethyl 4-chloro-3-oxobutyrate); 1079-66-9 (Chlorodiphenylphosphine); 5469-45-4; 14428-98-9; 16523-54-9 (Chlorodicyclohexylphosphine); 52386-78-4 Role: RCT (Reactant), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 19821-80-8P (1,3-Dibromo-2-iodobenzene); 97038-96-5P (2,2',6,6'-Tetrabromo-1,1'-biphenyl); 871707-37-8P; 871707-41-4P; 871707-43-6P; 873110-78-2P; 873110-79-3P Role: RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 152578-86-4 Role: RGT (Reagent), RACT (Reactant or reagent) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation); 2018-61-3P; 3618-96-0P; 10172-89-1P; 17480-69-2P; 22644-27-5P; 24915-95-5P; 38235-77-7P; 56816-01-4P; 86728-85-0P; 90866-33-4P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of asym. substituted biaryldiphosphines as ligands for transition metal catalyzed enantioselective hydrogenation), A1, EP, 2004-14909, 20040625"
TO_UPDATE;83859;1;PCT/CH03/00156;PCT/CH03/00156;;;;2003;0;
ERROR;84215;1;71-2130606 2130606;;;;;1973;6;CAN 78:113337, 48-8, Unit Operations and Processes, Patent, written in German., 19730111
ERROR;84220;1;75-2505705 2505705;;;;;1976;7;"CAN 86:120782, 23-12, Aliphatic Compounds, Patent, written in German., 19761202, 111-30-8P; 870-72-4P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of); 50-00-0 Role: RCT (Reactant), RACT (Reactant or reagent) (sulfonation of, hydroxymethanesulfonate from)"
ERROR;84222;1;75-2545845 2545845;;;;;1977;7;"CAN 87:38924, 23-17, Aliphatic Compounds, Patent, written in German., 19770428, 74-85-1 Role: RCT (Reactant), RACT (Reactant or reagent) (addn. reaction of, with acetic acid, catalysts for); 64-19-7 Role: RCT (Reactant), RACT (Reactant or reagent) (addn. reaction of, with ethylene, catalysts for); 64-67-5; 7664-93-9 Role: CAT (Catalyst use), USES (Uses) (catalysts from silica and, for addn. of ethylene to acetic acid); 141-78-6P Role: PREP (Preparation) (manuf. of, by ethylene addn. to acetic acid, catalysts for)"
ERROR;84225;1;76-2605991 2605991;;;;;1977;1;"CAN 87:167861 27-2 Heterocyclic Compounds (One Hetero Atom) Patent written in German. 19770825 74-85-1 Role: RCT (Reactant), RACT (Reactant or reagent) (oxidn. of, to ethylene oxide, selectivity increase in); 75-21-8P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of, by ethylene oxidn., selectivity increase in)"
ERROR;84227;1;76-2618021 2618021;;;;;1977;7;"CAN 88:50298, 23-16, Aliphatic Compounds, Patent, written in German., 19771110, 1333-82-0 Role: RCT (Reactant), RACT (Reactant or reagent) (acetic acid purifn. by distn. from aq. soln. of); 64-19-7P Role: PUR (Purification or recovery), PREP (Preparation) (purifn. of, by distn. from aq. solns. with chromic acid)"
ERROR;84228;1;75-2542127 2542127;;;;;1977;7;"CAN 87:41299, 49-2, Industrial Inorganic Chemicals, Patent, written in German., 19770331, 7446-09-5 Role: REM (Removal or disposal), PROC (Process) (removal of, from hydrochloric acid, app. for); 7647-01-0P Role: PREP (Preparation) (sulfur dioxide removal from, app. for)"
ERROR;84229;1;77-2700435 2700435;;;;;1978;7;"CAN 89:168299, 59-2, Air Pollution and Industrial Hygiene, Patent, written in German., 19780713, 17778-88-0 Role: RCT (Reactant), RACT (Reactant or reagent) (in redn. of nitrogen oxide in plasma jet); 11104-93-1 Role: REM (Removal or disposal), PROC (Process) (removal of, from waste gases, redn. with atm. nitrogen in plasma jet in)"
ERROR;84230;1;77-2730011 2730011;;;;;1979;7;"CAN 90:189237, 49-2, Industrial Inorganic Chemicals, Patent, written in German., 19790118, 7790-94-5P Role: IMF (Industrial manufacture), PREP (Preparation) (manuf. of, app. for); 7446-11-9 Role: RCT (Reactant), RACT (Reactant or reagent) (reaction of, with hydrochloric acid, app. for); 7647-01-0P Role: RCT (Reactant), PREP (Preparation), RACT (Reactant or reagent) (reaction of, with sulfur trioxide, app. for)"
ERROR;84231;1;77-2734573 2734573;;;;;1979;7;CAN 90:209400, 59-2, Air Pollution and Industrial Hygiene, Patent, written in German., 19790208, 75-44-5 Role: RCT (Reactant), RACT (Reactant or reagent) (hydrolysis of, in water, in waste gas purifn.)
ERROR;84240;1;81-106614 70330;;;;;1983;11;CAN 98:217758, 47-3, Apparatus and Plant Equipment, Patent, written in German., 19830126, Designated States R: AT, BE, CH, DE, FR, GB, IT, LI, LU, NL, SE., A2, CH, 81-4707, 19810717
ERROR;84241;1;82-110446 79595;;;;;1983;12;"CAN 99:86901, 17-6, Food and Feed Chemistry, Patent, written in French., 19830525, 111-30-8; 7631-86-9; 9012-76-4 Role: BIOL (Biological study) (enzyme immobilization by, in food manuf.); 9001-57-4; 9002-07-7; 9031-11-2 Role: PROC (Process) (immobilization of, in food manuf.), Designated States R: BE, DE, FR, GB, IT, NL, SE., A1, CH, 81-7375, 19811117"
ERROR;84246;1;83-103946 96201;;;;;1983;12;CAN 100:86343, 35-9, Chemistry of Synthetic High Polymers, Patent, written in German., 19831221, 9003-53-6P Role: IMF (Industrial manufacture), PREP (Preparation) (manuf. of, by continuous bulk polymn., app. for), Designated States R: AT, BE, CH, DE, FR, GB, IT, LI, LU, NL, SE., A1, CH, 82-3410, 19820603
ERROR;84270;1;87-3719055 3719055;;;;;1988;8;"CAN 111:38869, 23-14, Aliphatic Compounds, Patent, written in German., 19881215, 67-56-1 (Methanol) Role: RCT (Reactant), RACT (Reactant or reagent) (dehydrogenation of, catalytic, formaldehyde from); 50-00-0P (Formaldehyde) Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of, by catalytic dehydrogenation of methanol), A1"
ERROR;84271;1;88-108653 294684;;;;;1988;12;"CAN 110:193565, 35-2, Chemistry of Synthetic High Polymers, Patent, written in German., 19881214, 7440-23-5 (Sodium) Role: CAT (Catalyst use), USES (Uses) (catalysts, contg. indium, for methanol dehydrogenation in formaldehyde manuf.); 13770-61-1 Role: CAT (Catalyst use), USES (Uses) (catalysts, contg. sodium tetraborate, for methanol dehydrogenation in formaldehyde manuf.); 7440-74-6 (Indium) Role: CAT (Catalyst use), USES (Uses) (catalysts, contg. sodium, for methanol dehydrogenation in formaldehyde manuf.); 144-55-8 (Sodium hydrogen carbonate); 497-19-8 (Sodium carbonate); 1330-43-4 (Sodium tetraborate); 7631-95-0 (Sodium molybdate); 7632-05-5 (Sodium phosphate); 7757-82-6 (Sodium sulfate) Role: CAT (Catalyst use), USES (Uses) (catalysts, for methanol dehydrogenation in formaldehyde manuf.); 1312-43-2 (Indium oxide) Role: CAT (Catalyst use), USES (Uses) (catalysts, with sodium carbonate, for methanol dehydrogenation in formaldehyde manuf.); 67-56-1 (Methanol) Role: RCT (Reactant), RACT (Reactant or reagent) (dehydrogenation of, formaldehyde from, catalysts for); 50-00-0P (Formaldehyde) Role: IMF (Industrial manufacture), PREP (Preparation) (manuf. of, by methanol dehydrogenation, catalysts for), Designated States R: BE, CH, DE, ES, FR, GB, IT, LI, NL., A2, DE, 87-3719055, 19870606"
ERROR;84305;1;93-104638 566877;;;;;1993;12;"CAN 119:269183, 16-2, Fermentation and Bioindustrial Chemistry, Patent, written in French., 19931027, 9001-92-7 (Protease) Role: BIOL (Biological study) (alk., whey proteins hydrolysis with, app. for); 8049-47-6 (Pancreatin); 9002-07-7 (Trypsin); 9004-07-3 (Chymotrypsin) Role: BIOL (Biological study) (protein hydrolysis with, app. for), Designated States R: AT, BE, CH, DE, DK, ES, FR, GB, GR, IE, IT, LI, LU, NL, PT, SE., A2, CH, 92-1160, 19920409"
ERROR;84380;1;99-810305 1044935;;;;;2000;9;"CAN 133:312622, 57-1, Ceramics, Patent, written in English., 20001018, 7440-44-0 (Carbon) Role: TEM (Technical or engineered material use), USES (Uses) (active material; manuf. of low wt. resistant porous glass fibers by leaching aluminoborosilicate glass fibers and their applications); 78-10-4; 2031-67-6 (Methyltriethoxysilane); 7664-93-9 (Sulfuric acid); 7784-27-2 (Aluminum nitrate nonahydrate); 7789-02-8; 10031-43-3; 13825-74-6; 13986-27-1; 14285-63-3 Role: NUU (Other use, unclassified), PEP (Physical, engineering or chemical process), TEM (Technical or engineered material use), PROC (Process), USES (Uses) (coating precursor; manuf. of low wt. resistant porous glass fibers modified by metal oxides); 1308-38-9P (Chromium oxide (Cr2O3); 1317-38-0P (Copper oxide (CuO); 1344-28-1P (Aluminum oxide (Al2O3); 7631-86-9P (Silica); 13463-67-7P (Titania) Role: DEV (Device component use), SPN (Synthetic preparation), TEM (Technical or engineered material use), PREP (Preparation), USES (Uses) (coating; manuf. of low wt. resistant porous glass fibers modified by metal oxides); 74-98-6 (Propane) Role: NUU (Other use, unclassified), PEP (Physical, engineering or chemical process), PROC (Process), USES (Uses) (complete oxidn.; manuf. of glass fiber catalysts and their applications); 7440-06-4 (Platinum); 7440-57-5 (Gold) Role: MOA (Modifier or additive use), USES (Uses) (deposited on porous fiber, catalyst; manuf. of low wt. resistant porous glass fibers by leaching aluminoborosilicate glass fibers and their applications); 108-95-2 (Phenol) Role: PEP (Physical, engineering or chemical process), PROC (Process) (hydroxylation; manuf. of glass fiber catalysts and their applications); 1314-62-1 (Vanadium oxide (V2O5) Role: MOA (Modifier or additive use), USES (Uses) (in coating; manuf. of low wt. resistant porous glass fibers by leaching aluminoborosilicate glass fibers and their applications); 7647-01-0 (Hydrochloric acid) Role: NUU (Other use, unclassified), USES (Uses) (leaching soln.; manuf. of low wt. resistant porous glass fibers by leaching aluminoborosilicate glass fibers and their applications); 7647-10-1 (Palladium chloride (PdCl2); 16941-12-1 (Hydrogen chloroplatinate (H2PtCl6) Role: PEP (Physical, engineering or chemical process), TEM (Technical or engineered material use), PROC (Process), USES (Uses) (precursors; manuf. of low wt. resistant porous glass fibers by leaching aluminoborosilicate glass fibers and their applications), Designated States R: AT, BE, CH, DE, DK, ES, FR, GB, GR, IT, LI, LU, NL, SE, MC, PT, IE, SI, LT, LV, FI, RO., A1"
ERROR;84409;1;2000-810512 1163952;;;;;2001;9;"CAN 136:39283, 47-3, Apparatus and Plant Equipment, Patent, written in German., 20011219, 7782-44-7 (Oxygen) Role: RCT (Reactant), RACT (Reactant or reagent) (dehydrogenation agent; tube fixed-bed reactor consisting of fiber-bundle for laminar flow); 115-07-1P (Propene) Role: IMF (Industrial manufacture), PREP (Preparation) (tube fixed-bed reactor consisting of fiber-bundle for laminar flow); 74-98-6 (Propane) Role: RCT (Reactant), RACT (Reactant or reagent) (tube fixed-bed reactor consisting of fiber-bundle for laminar flow), Designated States R: AT, BE, CH, DE, DK, ES, FR, GB, GR, IT, LI, LU, NL, SE, MC, PT, IE, SI, LT, LV, FI, RO., A1"
ERROR;84658;1;00 810 512.4;;;;;2000;0;
TO_UPDATE;84748;1;WO2006072441-A2;WO2006072441;WO;A2;2006;2005;0;
TO_UPDATE;87397;1;WO200193414-A;WO0193414;WO;A;2001;2000;0;
TO_UPDATE;87398;1;WO9918654-A;WO9918654;WO;A;;1997;1;"FR2769428-A1; WO9918654-A1; EP1020019-A1; EP1020019-B1;  WO9918654-A FR2769428-A1 09 Apr 1999 H02P-006/14 199921 Pages: 27 WO9918654-A1 15 Apr 1999 H02P-006/18 199922 FRN AU9892497-A 27 Apr 1999 H02P-006/18 199936 EP1020019-A1 19 Jul 2000 H02P-006/18 200036 FRN JP2001519640-W 23 Oct 2001 H02P-006/18 200202 Pages: 26 US6326760-B1 04 Dec 2001 H02P-006/16 200203 DE69805641-E 04 Jul 2002 H02P-006/18 200251"
TO_UPDATE;87399;1;EP688539-A;EP688539;EP;A;;1999;1;"FR2720263-A1; EP688539-A1; EP688539-B1; DE69511630-E Cardoletti L. et Perriard V. ne sont pas nommés sur le brevet EP688539-A !!!!"
TO_UPDATE;87495;1;FR2703687;FR2703687;FR;;;1994;0;
TO_UPDATE;87496;1;WO9424088;WO9424088;WO;;;1994;0;
